,7,8,9,10,13,16,18,19,20,25,27,28,29,32,34,36,63,64,66,67,69,70,71,73,75,77,78,79,80,81,82,83,84,86,87,88,89,90,92,93,94,95,96,97,98,99,100,101,102,104,105,107,109,110,112,143,148,149
mmu-miR-140-5p,22.117,22.771,20.768,20.241001,20.877,20.822739,19.98257,21.517,19.47,20.951,20.977,20.533,21.834,21.38,21.675,21.631,24.109903,21.58,24.161068,20.39,20.394,19.712368,22.232,21.738,26.808903,20.719255,21.38,21.675,21.631,20,20.936,21.284,21.738,22.076,21.018,23.551,20.142,19.567785,20.891,19.70133,21.013,21.132,22.002,20.807,22.567,26.234,21.145,21.469,20.401,29.392,28.25,22.643,25.331,24.911,24.167,20.984,20.116,22.338
mmu-miR-144-3p,22.922,23.569,20.325,19.34968,20.745,19.532825,19.455849,20.254,20.092,20.948,21.335,19.84,21.434,21.106,21.342,22.244,23.398252,21.437,23.16399,19.972,20.829,19.222939,21.671,20.724,25.790762,19.509874,21.106,21.342,22.244,24.135,20.551,20.852,20.724,21.741,20.729,26.7,20.925,18.927237,22.549,19.492926,21.291,20.836,21.781,19.736,22.502,25.786,20.943,22.125,20.194,27.758,27.628,24.631,25.074,24.836,24.453,19.936,19.117,23.795
mmu-miR-155-5p,24.547,24.363,23.223,23.672736,23.418,22.675098,23.845877,23.591,23.466,23.258,22.984,22.716,22.695,23.991,23.753,23.64,25.401457,23.664,23.927043,23.196,22.968,22.783627,23.736,23.97,23.643795,23.043072,23.991,23.753,23.64,24.415,23.085,23.115,23.97,23.662,23.492,24.275,22.755,22.545904,22.796,22.746534,23.12,23.441,24.529,23.579,23.443,24.07,23.68,23.805,22.919,26.78,24.767,23.928,27.139,27.134,24,23.12,22.543,23.89
mmu-miR-15a-5p,21.212,21.005,19.132,19.951054,19.091,18.636906,19.440226,19.154,19.158,19.559,19.184,18.32,19.924,19.57,19.827,20.641,21.486229,20.701,23.274334,18.814,19.504,17.919409,20.305,19.225,24.27607,17.977892,19.57,19.827,20.641,23.552,19.06,19.089,19.225,20.576,19.47,23.327,19.194,17.529305,20.227,17.806932,19.873,19.698,20.632,19.136,21.276,25.481,19.386,20.202,18.721,28.951,26.593,22.868,23.815,23.048,24.168,18.253,17.889,20.372
mmu-miR-15b-5p,20.475,20.649,18.66,20.433455,19.177,18.795874,18.72624,19.739,19.353,19.907,19.32,18.808,19.786,20.574,20.359,20.502,22.294754,19.883,22.63881,19.602,19.713,19.356577,20.701,20.918,21.30665,19.223406,20.574,20.359,20.502,21.261,20.116,19.572,20.918,20.199,20.002,21.444,19.346,18.41275,19.312,18.356976,19.59,19.728,20.727,20.526,20.181,21.746,19.918,20.014,19.2,25.836,24.139,20.113,22.807,22.921,21.495,18.758,18.364,20.962
mmu-miR-16-5p,17.541,17.697,15.897,15.53341,15.935,15.514412,15.6151495,15.946,15.838,16.26,16.018,15.421,16.555,19.832,16.527,16.237,18.701548,16.654,19.381527,15.791,15.906,15.42497,16.974,16.844,20.104847,15.741678,19.832,16.527,16.237,18.057,16.139,16.201,16.844,16.551,16.342,18.689,15.881,15.319427,15.946,14.8729,15.861,16.181,17.47,15.829,16.687,18.863,16.292,16.547,15.714,22.513,20.629,16.952,19.692,19.71,18.073,15.761,15.293,18.19
mmu-miR-17-5p,20.88,21.604,19.521,19.302279,19.374,19.286106,18.772797,19.722,19.682,19.845,19.472,19.116,20.394,20.588,20.18,20.801,22.548185,20.441,22.438974,19.485,19.441,18.70384,20.822,20.451,24.032637,19.210688,20.588,20.18,20.801,22.802,20.26,19.947,20.451,20.38,20.03,22.335,19.491,18.582878,19.707,18.59729,19.835,20.757,20.729,19.974,21.064,24.473,19.937,20.413,19.478,27.807,26.411,20.841,23.256,23.264,22.686,19.087,18.846,21.562
mmu-miR-181a-5p,19.815,20.221,18.655,18.137234,18.829,18.425348,17.799755,19.076,18.984,19.215,19.023,18.389,19.836,19.524,19.312,19.652,21.141363,19.738,21.207272,18.685,18.823,18.193111,20.071,19.392,22.807938,18.24239,19.524,19.312,19.652,22.165,18.871,19.157,19.392,19.931,19.167,21.307,18.965,17.866917,18.736,17.715786,18.958,19.389,20.113,19.09,20.177,22.814,19.104,19.697,18.799,24.476,22.864,20.408,22.286,22.04,21.178,18.571,18.359,19.981
mmu-miR-181b-5p,22.292,21.994,20.885,20.461655,21.109,20.128645,19.87252,21.657,21.238,21.161,21.161,21.089,21.257,21.976,21.82,21.788,23.348625,21.689,23.671246,21.183,21.559,20.76106,22.477,21.654,21.56024,20.261442,21.976,21.82,21.788,22.99,21.822,21.214,21.654,21.808,21.71,22.505,21.403,20.152754,21.417,19.832224,21.002,21.199,22.627,21.437,21.81,22.858,21.732,21.457,21.378,25.06,24.979,21.771,24.342,24.316,22.288,20.843,20.6,21.682
mmu-miR-181c-5p,20.817,21.032,19.578,19.55613,19.68,18.921259,18.625967,19.883,19.971,19.958,19.894,18.724,21.62,20.71,20.351,21.131,21.699234,20.786,22.354063,19.538,20.202,19.26468,21.19,20.58,23.613869,18.711798,20.71,20.351,21.131,24.071,19.683,19.949,20.58,20.868,20.267,22.841,20.047,18.299593,19.639,17.946722,20.321,20.56,21.176,20.521,21.818,24.094,20.408,21.081,19.625,27.12,24.789,21.437,23.284,23.232,22.625,19.043,18.985,20.388
